Roger,rodzser,ɹ ɑː dʒ ɚ
Penrose,penróz,p ɛ n ɹ oʊ z
Stuart,sztúart,s t uː ɑːɹ
Hameroff,hemerof,h æ m ɚ ɹ ɔ f
Galilei,galilei,ɡ æ l ɪ l eɪ
establishment,eszteblisment,ɪ s t æ b l ɪ ʃ m ɛ n
Hecklefish,hekkelfis,h ɛ k l ɛ f ɪ ʃ
chigawats,csigavattsz,tʃ ɪ ɡ ɐ w ɑː t s
yfiles,vájfájlsz,ɪ f aɪ l z
Discordra,diszkordra,d ɪ s k oːɹ d
Operation,operésön,ɑː p ɚ ɹ eɪ ʃ ɪ oʊ
audio,audió,ɔː d ɪ oʊ
like-ra,lájkra,l aɪ k
thumbs,támsz,θ ʌ m z
up-ra,apra,ʌ p
follow-ra,folóra,f ɑː l oʊ
YFilesra,vájfájlszra,w aɪf aɪ l z
Discordot,diszkordot,d ɪ s k oːɹ d oʊ
Wi-Files,vájfájlsz,w aɪ f aɪ l z
backstage-en,beksztédzsen,b æ k s t eɪ dʒ iː
Wi-Files-szal,vájfájlsszal,w aɪ f aɪ l z ʃ æ l
wife,vájf,w aɪ f
Patreon,pétreon,p æ t ɹ ɪ oʊ
Patreonon,pétreonon,p æ t ɹ ɪ oʊ n oʊ
streamben,sztrímben,s t ɹ iː m
Wi-Fi,vifi,w aɪ f aɪ
merchet,mörcs,m ɜː tʃ
YouTube-on,jútúbon,j uːt uː b oʊ
Gilles,zsil,dʒ ɪ l z
Polymius,polimiusz,p ɑː l ɪ m ɪ ə s
Mal,mel,m æ l
KL,kéjel,k eɪ ɛ l
Stanley,sztenli,s t æ n l i
Kubernetes,kubernetesz,k j uː b ɚ n iː t s
roswelli,rozvelli,ɹ ə s w ɛ l i
Headrell,hedrell,h ɛ d ɹ əl
swing,szving,s w ɪ ŋ
wipes,vájpsz,w aɪ p s
out,áut,uː
Mopman,mopmen,m ɑː p m ə
J2,jékettő,j eːk ɛ tː øː
Gurdy,gördi,ɡ ɜː d i
swinget,szvindzit,s w ɪ n dʒ
NATO-tól,nátó-tól,n eɪ ɾ oʊ
Force,forsz,f oːɹ s
changes,cséndzsiz,tʃ eɪ n dʒ ᵻ z
ninjutsu,nindzsutszú,n ɪ n dʒ ʌ t s uː
chips,csipsz,tʃ ɪ p s
GPU,dzsípíjú,dʒ iː p iː j uː
like,lájk,l aɪ k
v3,vehárom,v eːh aː r o m
r1,eregy,ɛ r rɛ ɟ
that,that,θ ɑː
NATO,nátó,n eɪ ɾ oʊ
ENSZ,ensz,ɛ n s z
EU,eu,iː j uː
USA,júeszéj,j uː ɛ s eɪ
C3PO,szripio,ts eːh aː r o mp o
X-Wing,ikszving,ɛ k s w ɪ ŋ
Lajos,Lajos,l ɑː dʒ oʊ z
chips-ek,csipszek,tʃ ɪ p s ɛ k
KFT,káefté,k eɪ ɛ f
R2D2,ártuditu,ɛ r rk ɛ tː øːd eːk ɛ tː øː
Mission,missiön,m ɪ s ɪ oʊ
Impossible,imposziböl,ɪ m p ɑː s ᵻ b əl
